Ticker,Name,Exchange,categoryName,categoryNr
ZVAA.F,CELLECTIS SP ADR,FRA,None,0
ORXOF,Orexo AB,PNK,None,0
NESF.L,NEXTENERGY SOL GBP,LSE,None,0
PVEG,Pacific Vegas Global Strategies Inc.,PNK,None,0
HFF.DU,HARTFORD FIN SERV,DUS,Property & Casualty Insurance,432
PVEN,"Press Ventures, Inc.",PNK,None,0
SMY.V,Search Minerals Inc.,VAN,Industrial Metals & Minerals,133
ORXOY,Orexo AB,PNK,None,0
BCONQ,BP Fly Corporation,PNK,None,0
PMTA.MU,PTC,MUN,Technical & System Software,822
SMTX,SMTC Corporation,NGM,Printed Circuit Boards,835
IMGN,"ImmunoGen, Inc.",NMS,Biotechnology,515
IRET,Investors Real Estate Trust,NYQ,REIT - Diversified,440
SMTP,"SMTP, Inc.",NCM,Internet Service Providers,850
DNA.AX,Donaco International Limited,ASX,Lodging,710
IMGX,"Image Metrics, Inc.",PNK,Multimedia & Graphics Software,820
SMTD,None,PNK,None,0
SMTE,Smart Technologies Holding Corp.,PNK,None,0
PHXXF,Phoenix Group Holdings Plc,PNK,None,0
SMTC,Semtech Corporation,NMS,Semiconductor - Integrated Circuits,833
6KM.F,KINETIC MINES & ENE,FRA,None,0
Z1O.F,ZILLOW-A,FRA,None,0
PMD.V,Prima Diamond Corp.,VAN,Industrial Metals & Minerals,133
2817-OL.HK,WISE HKLMCONS,HKG,None,0
OXYS,"OxySure Systems, Inc.",PNK,Medical Appliances & Equipment,521
MTGEP,American Capital Mortgage Investment Corp.,NMS,None,0
FVI.TO,Fortuna Silver Mines Inc.,TOR,Silver,135
RNW.TO,TransAlta Renewables Inc.,TOR,Diversified Utilities,913
MISVF,Minco Silver Corporation,PNK,None,0
NEFF,Neff Corp.,NYQ,Rental & Leasing Services,761
SRG.MI,Snam S.p.A.,MIL,Gas Utilities,912
PIQ2.F,PIK GR SP GDR REG-S,FRA,None,0
NEFT,None,OBB,None,0
TAXA361.SA,FINANC/TERMO,SAO,None,0
NUMD,"Nu-Med Plus, Inc.",OBB,Medical Appliances & Equipment,521
DRV.L,"Driver Group, PLC",LSE,Business Services,760
0818.HK,HI SUN TECH,HKG,Technical & System Software,822
BDT.TO,Bird Construction Inc.,TOR,General Contractors,636
DELTW,Delta Technology Holdings Limited,NCM,None,0
FENOPLAS.BO,Fenoplast Ltd.,BSE,Rubber & Plastics,322
GPDB,"The Green PolkaDot Box, Inc.",PNK,Catalog & Mail Order Houses,739
AFGVF,AGFA GEVAERT NV (BEL,PNK,None,0
0H9.SG,SEIBU HLDG,STU,None,0
DELTY,Delta Galil Industries Ltd.,PNK,Specialty Chemicals,113
SWFT,Swift Transportation Company,NYQ,Trucking,774
MOD,Modine Manufacturing Company,NYQ,Auto Parts,333
MSRO3.SA,Maestro Locadora de VeÃ­culos S.A.,SAO,None,0
DOHL3F.SA,DOHLER      ON,SAO,None,0
0H5.F,HCI GROUP,FRA,None,0
G4Z.F,TV AZTECA CPO,FRA,None,0
WILLAMAGOR.BO,WILLIAMSON MAGOR & COMPANY LTD,BSE,None,0
QCTA.MU,BELDEN,MUN,Diversified Electronics,836
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V.",MEX,Money Center Banks,410
PMC.AX,Platinum Capital Ltd.,ASX,Asset Management,422
0968.HK,XINYI SOLAR,HKG,None,0
QTNT,Quotient Limited,NGM,None,0
FAS.MU,FASTENAL,MUN,Industrial Equipment Wholesale,752
BFNH,"BioForce Nanosciences Holdings, Inc.",PNK,None,0
OMV.F,OMV ,FRA,Oil & Gas Drilling & Exploration,123
GEIG,GEI Global Energy Corp.,OBB,Electric Utilities,911
HFCL.NS,Himachal Futuristic Communications Ltd.,NSI,Communication Equipment,841
IZ8A.BE,AFRICAN OXYGEN,BER,Chemicals - Major Diversified,110
BFNC,Bank First National Corporation,PNK,None,0
KHI,Deutsche High Income Trust,NYQ,Closed-End Fund - Debt,425
04CN.SG,CHINA JO-JO DRGSTRS,STU,Drug Delivery,513
RED.V,RedWater Energy Corp.,VAN,Independent Oil & Gas,121
KHC,The Kraft Heinz Company,NMS,Food - Major Diversified,340
FSFL.L,FORESIGHT SLR GBP,LSE,None,0
FMGXF,First Mexican Gold Corp.,PNK,None,0
BVPFF,Aston Hill Advantage VIP Income Fund,PNK,None,0
NXQ,Nuveen Select Tax-Free Income Portfolio 2,NYQ,Closed-End Fund - Debt,425
NXP,Nuveen Select Tax-Free Income Portfolio,NYQ,Closed-End Fund - Debt,425
NXR,Nuveen Select Tax-Free Income Portfolio 3,NYQ,Closed-End Fund - Debt,425
VARDIA.OL,Vardia Insurance Group ASA,OSL,Property & Casualty Insurance,432
NXZ,Nuveen Dividend Advantage Municipal Fund 2,ASE,Asset Management,422
FLW.MU,FLUGHAFEN WIEN,MUN,"Air Services, Other",772
EVT.DE,Evotec AG,GER,Drugs - Generic,512
NXC,Nuveen California Select Tax-Free Income Portfolio,NYQ,Closed-End Fund - Debt,425
MVBF,MVB Financial Corp.,PNK,None,0
NXN,Nuveen New York Select Tax-Free Income Portfolio,NYQ,Closed-End Fund - Debt,425
NXK,Nuveen New York Dividend Advantage Municipal Fund 2,ASE,None,0
NXJ,Nuveen New Jersey Dividend Advantage Municipal Fund,NYQ,Asset Management,422
TEN.NZ,Tenon Limited,NZE,"Lumber, Wood Production",632
CVL.BE,VALE SPADR PFD-A,BER,Industrial Metals & Minerals,133
BVX,Bovie Medical Corporation,ASE,Medical Instruments & Supplies,520
AURI,"Auri, Inc.",PNK,Textile - Apparel Footwear & Accessories,321
GSBD,"Goldman Sachs BDC, Inc.",NYQ,None,0
GSBC,Great Southern Bancorp Inc.,NMS,Regional - Southwest  Banks,415
BVN,CompaÃ±Ã­a de Minas Buenaventura S.A.A.,NYQ,Industrial Metals & Minerals,133
MTX.DE,MTU Aero Engines AG,GER,Aerospace/Defense - Major Diversified,610
AMER.L,Amerisur Resources PLC,LSE,Independent Oil & Gas,121
0629.HK,Yue Da Mining Holdings Limited,HKG,Industrial Metals & Minerals,133
H6J.BE,HOUSTON WIRE,BER,None,0
XEP.F,CEPHEID ,FRA,Medical Laboratories & Research,525
V7Q.BE,GANGER ROLF,BER,Shipping,775
NSK.BE,NSK LTD,BER,Metal Fabrication,626
0048.KL,ANCOM LOGISTICS BERHAD,KLS,None,0
BZZUY,Buzzi Unicem SpA,PNK,None,0
0420.HK,Fountain Set Holdings Ltd.,HKG,Textile Industrial,628
6MN.BE,MARUHA NICHIRO,BER,None,0
BHARTISHI.NS,Bharati Shipyard Limited,NSI,None,0
NUVSF,NuVista Energy Ltd.,PNK,None,0
MDAV,"Davi Luxury Brand Group, Inc.",PNK,Personal Products,323
GPOVF,"Grupo Carso, S.A.B. de C.V.",PNK,None,0
1177.HK,Sino Biopharmaceutical Ltd.,HKG,Biotechnology,515
B8O.HM,YANGZIJIANG SHIPBLD,HAM,None,0
GPOVY,"Grupo Carso, S.A.B. de C.V.",PNK,None,0
8198.HK,MelcoLot Limited,HKG,Gaming Activities,714
JDGPF,JD GROUP LTD ORD,PNK,None,0
CAKE,The Cheesecake Factory Incorporated,NMS,Restaurants,712
ZODIACVEN.BO,ZODIAC VENTURES LIMITED,BSE,None,0
MI8.BE,KA SHUI INTERNATION,BER,Metal Fabrication,626
MAW.L,"Maruwa Co., Ltd.",LSE,Diversified Electronics,836
CGIFF,Chemtrade Logistics Income Fund,PNK,None,0
7070.KL,Astral Supreme Berhad,KLS,None,0
MKGAF,Merck KGaA,PNK,None,0
CXDC,China XD Plastics Company Ltd.,NGM,Rubber & Plastics,322
SYIEY,Symrise AG,PNK,None,0
6769@OM.KL,JKG LAND BERHAD,KLS,None,0
APYI,Aspyra Inc.,PNK,None,0
OAO.MU,NIZHNEKNEFT SP ADR,MUN,None,0
WSOK.BE,WALLSTREET:ONLINE,BER,None,0
CCT.TO,Catamaran Corporation,TOR,None,0
SYIEF,Symrise AG,PNK,None,0
WTFCW,Wintrust Financial Corporation,NMS,None,0
HTHT,"China Lodging Group, Limited",NMS,Lodging,710
HKTV,Hong Kong Television Network Limited,NMS,None,0
HKTU,None,PNK,None,0
WTFCM,Wintrust Financial Corporation,NMS,None,0
NWIN,Northwest Indiana Bancorp,OBB,Savings & Loans,419
XSL.F,STEINER LEISURE,FRA,Personal Services,762
OIC.SG,OCI,STU,None,0
PLSB,The Pulse Beverage Corporation,PNK,None,0
PRMRF,Paramount Resources Ltd.,PNK,None,0
JPINFRATE.NS,Jaypee Infratech Limited,NSI,Heavy Construction,635
ODMTY,Old Mutual plc,PNK,None,0
JYNT,The Joint Corp.,NCM,Hospitals,524
STGYF,Eguana Technologies Inc.,PNK,None,0
T97.F,TOKYO DOME,FRA,"Recreational Goods, Other",317
0YC.BE,YUANDA CHINA,BER,None,0
PEBI.L,Port Erin Biopharma Investments Limited,LSE,Biotechnology,515
XYD.SG,MINCO SILVER,STU,Silver,135
TWER,Towerstream Corporation,NCM,Diversified Communication Services,846
ANCI,"American Caresource Holdings, Inc.",NCM,None,0
ANCB,Anchor Bancorp,NGM,Savings & Loans,419
DSSPF,Deep Sea Supply Plc,PNK,None,0
ANCX,Access National Corporation,NGM,Regional - Mid-Atlantic Banks,412
717247.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,None,0
NOE.MI,NOEMALIFE S.p.A,MIL,Medical Appliances & Equipment,521
1DD.SG,Delta Drone S.A.,STU,None,0
RGIN,"Regenicin, Inc.",PNK,Biotechnology,515
IVSBY,Investor AB,PNK,None,0
UAX.V,Atom Energy Inc.,VAN,Industrial Metals & Minerals,133
SSPC,"SpendSmart Networks, Inc.",PNK,None,0
RQ1.SI,Overseas Education Limited,SES,Education & Training Services,766
AHF.TO,Aston Hill Financial Inc.,TOR,None,0
PAP.L,Paddy Power plc,LSE,Gaming Activities,714
QL2.SI,IS ASIA BND S$D,SES,None,0
Q0X.SI,Ley Choon Group Holdings Limited,SES,General Contractors,636
AXAS,Abraxas Petroleum Corp.,NCM,Independent Oil & Gas,121
KMGGF,"Kumagai Gumi Co.,Ltd.",PNK,None,0
AMCO,"Armco Metals Holdings, Inc",ASE,Basic Materials Wholesale,758
AMCN,AirMedia Group Inc.,NMS,Marketing Services,721
ESI.TO,Ensign Energy Services Inc.,TOR,Oil & Gas Drilling & Exploration,123
BFWWF,Burger Fuel Worldwide Limited,PNK,None,0
AMCF,Andatee China Marine Fuel Services Corporation,NCM,Oil & Gas Equipment & Services,124
F10.SI,F J Benjamin Holdings Ltd,SES,Apparel Stores,730
AMCC,Applied Micro Circuits Corporation,NMS,Semiconductor - Integrated Circuits,833
RNR-PE,RenaissanceRe Holdings Ltd. 5.3,NYQ,None,0
SID,Companhia Siderúrgica Nacional,NYQ,Steel & Iron,130
RNR-PC,RenaissanceRe Holdings Ltd. 6.0,NYQ,None,0
GMX.AX,Enzumo Limited,ASX,Copper,131
SYNCOM.BO,Syncom Formulations India Ltd,BSE,Drug Manufacturers - Major,510
KODK-WT,EASTMAN KODAK CO. WARRANTS EXP,NYQ,None,0
YOU.L,YouGov plc,LSE,Business Services,760
WOF.DU,WOLFORD ,DUS,None,0
DURDO.IS,Duran Dogan Basim ve Ambalaj Sanayi A.S.,IST,None,0
YOU.F,YOUNIQ,FRA,None,0
QPRO.BO,QPRO INFOTECH LTD.,BSE,None,0
MMM.SW,3M,EBS,None,0
KWKAQ,Quicksilver Resources Inc.,PNK,None,0
PFIE,"Profire Energy, Inc.",NCM,Oil & Gas Equipment & Services,124
ABG.MC,ABENGOA -A-,MCE,None,0
YJ3A.SG,JBS S.A.,STU,None,0
PFIN,P&F Industries Inc.,NGM,Small Tools & Accessories,625
NVO.V,Novo Resources Corp.,VAN,None,0
USLM,"United States Lime & Minerals, Inc.",NMS,General Building Materials,634
PFIS,Peoples Financial Services Corp.,NMS,Regional - Northeast Banks,411
XPOI,Xponential Inc.,PNK,None,0
WOR,"Worthington Industries, Inc.",NYQ,Steel & Iron,130
113813.L,COPPER DEVELOP,LSE,None,0
NANO.PA,Nanobiotix SA,PAR,Drug Manufacturers - Major,510
BKSH,"Berkshire Homes, Inc.",PNK,None,0
MLVIN.PA,"Foncière Vindi SAS
",PAR,Property Management,448
NLB1.DE,Nobel Biocare Holding AG,GER,Medical Instruments & Supplies,520
QCI.F,QUALCOMM,FRA,Communication Equipment,841
LUNA,Luna Innovations Incorporated,NCM,Scientific & Technical Instruments,837
MIXT,MiX Telematics Limited,NYQ,Technical & System Software,822
GCFB,Granite City Food & Brewery Ltd.,PNK,Restaurants,712
OMVSD,On The Move Systems Corp.,PNK,None,0
AHCHY,Anhui Conch Cement Co. Ltd.,PNK,None,0
047810.KS,Korea Aerospace Industries Ltd.,KSC,None,0
VHO.MU,VALUE-HOLDINGS,MUN,None,0
WP7.MU,WESCO INTL,MUN,Industrial Equipment Wholesale,752
UWC-R.BK,Ua Withya Public Company Limited,SET,None,0
DIDG,The Digital Development Group Corp.,PNK,Business Services,760
VSEC,VSE Corp.,NMS,Technical Services,767
LION.JK,Lion Metal Works Tbk.,JKT,None,0
WSV2.DU,VIENNA INSURANCE GR,DUS,Property & Casualty Insurance,432
KWHAF,K. Wah International Holdings Ltd.,PNK,None,0
ITE.L,ITE Group plc,LSE,Business Services,760
AMEC.L,Amec Foster Wheeler plc,LSE,Oil & Gas Equipment & Services,124
RAK.BE,RAKUTEN,BER,"Specialty Retail, Other",745
720603.TWO,JIH SUN SECURITIES C/W 11/04/16,TWO,None,0
PGUZ,Pegasus Pharmaceuticals Inc.,PNK,None,0
BTR.V,BonTerra Resources Inc.,VAN,Industrial Metals & Minerals,133
V3V.MU,VITA 34 N,MUN,Biotechnology,515
02344015.KQ,JeilSteel 9R,KOE,None,0
3QN.BE,JINPAN INTL,BER,Diversified Electronics,836
ELIN.AT,Elinoil Hellenic Petroleum Company S.A.,ATH,Oil & Gas Refining & Marketing,122
JASUF,Jasmine International Public Company Limited,PNK,None,0
DDV1.L,Downing ONE VCT,LSE,Asset Management,422
EXPN.L,Experian plc,LSE,Business Services,760
GBLX,"Growblox Sciences, Inc.",PNK,None,0
KLBN11.SA,KLABIN S/A  UNT     N2,SAO,None,0
SUR.AX,Sun Resources NL,ASX,Independent Oil & Gas,121
NKE.SG,NIKE -B-,STU,Textile - Apparel Footwear & Accessories,321
181710.KS,NHN Entertainment Corp.,KSC,None,0
GBLI,Global Indemnity plc,NMS,Property & Casualty Insurance,432
ZWINMOTR.BO,WINMORE SILK MILLS LTD.,BSE,None,0
WIIMD,None,PNK,None,0
REAT.L,React Group Plc,LSE,None,0
DNO.F,DENSO,FRA,Auto Parts,333
AMT.DU,TD AMERITRADE HLDG,DUS,Investment Brokerage - National,420
DIGJAM.NS,Digjam Ltd,NSI,Textile Industrial,628
EW1.F,EXPEDIT INTL WASH,FRA,Air Delivery & Freight Services,773
ATC.AS,Altice,AMS,None,0
LB3A.MU,LIBERTY INT QVC-A,MUN,Entertainment - Diversified,722
DD.MX,E. I. du Pont de Nemours and Company,MEX,Agricultural Chemicals,112
GMBXF,Grupo México S.A.B. de C.V.,PNK,None,0
BLBD,Blue Bird Corporation,NGM,Auto Manufacturers - Major,330
MXH.DU,M.A.X. AUTOMATION,DUS,Diversified Machinery,622
KNOLF,Knol Resources Corp.,PNK,None,0
EZPW,"EZCORP, Inc.",NMS,Credit Services,424
V-UN.V,PRO REAL ESTATE INVESTMENT TRUS,VAN,None,0
FLXP,Flex-Power Inc.,PNK,None,0
VCRA,"Vocera Communications, Inc.",NYQ,Communication Equipment,841
B8O.SG,YANGZIJIANG SHIPBLD,STU,Aerospace/Defense - Major Diversified,610
MXSG,Mexus Gold US,PNK,None,0
INDF.JK,Indofood Sukses Makmur Tbk.,JKT,None,0
C3E.F,CAPELLA EDUCATION,FRA,None,0
000909.SZ,SOYEA,SHZ,None,0
QMBN.F,Q & M DENTAL,FRA,None,0
VENKPHR.BO,Venkat Pharma Ltd,BSE,Drug Manufacturers - Major,510
QB3.F,QUEBECOR INC  -B-,FRA,None,0
JPXGY,"Japan Exchange Group, Inc.",PNK,None,0
8272.HK,Chinese Food and Beverage Group Limited,HKG,Apparel Stores,730
RLYNF,"Rallye Société Anonyme
",PNK,None,0
TTA.L,TOTAL S.A.,LSE,Major Integrated Oil & Gas,120
ESNC,"EnSync, Inc.",ASE,Industrial Electrical Equipment,627
ESND,Essendant Inc.,NMS,Business Equipment,313
SZBXY,Snoozebox Holdings plc,PNK,None,0
PTGCY,"Pharol, SGPS S.A.",PNK,None,0
ESNT,Essent Group Ltd.,NYQ,Mortgage Investment,447
UNITEDTEA-EQ.NS,UNITED NILGIRI TEA INR10,NSI,None,0
DNNC,"GD Entertainment & Technology, Inc.",PNK,None,0
DBL,DoubleLine Opportunistic Credit,NYQ,None,0
DBD,"Diebold, Incorporated",NYQ,Diversified Computer Systems,810
CREAF,Creative Technology Ltd.,PNK,None,0
USS.SG,MARATHON OIL,STU,Independent Oil & Gas,121
BRHM,Brenham Oil & Gas Corp.,PNK,Independent Oil & Gas,121
CHSCP,"CHS, Inc.",NMS,None,0
KKCL.BO,Kewal Kiran Clothing Limited,BSE,Textile - Apparel Clothing,320
MBI.DU,MITSUBISHI CORP,DUS,Conglomerates,210
RLMD,"Relmada Therapeutics, Inc.",PNK,Drugs - Generic,512
OLL.F,ORIENTAL LAND,FRA,"Recreational Goods, Other",317
UX2A.F,XPO LOGISTICS,FRA,None,0
SKUYF,SANSEI YUSOKI CO LTD,PNK,None,0
TCFC,The Community Financial Corp.,NCM,Regional - Mid-Atlantic Banks,412
INWI.ST,Inwido AB,STO,None,0
AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,431
AFM,Affiliated Managers Group Inc.,None,None,0
AFH,"Atlas Financial Holdings, Inc.",NCM,Property & Casualty Insurance,432
AFG,American Financial Group Inc.,NYQ,Property & Casualty Insurance,432
AFA,American Financial Group Inc.,NYQ,None,0
AFB,AllianceBernstein National Municipal Income Fund,NYQ,Closed-End Fund - Debt,425
AFC,Allied Capital Corporation,NYQ,None,0
AFT,Apollo Senior Floating Rate Fund Inc.,NYQ,None,0
AFW,American Financial Group Inc.,NYQ,None,0
ERHE,ERHC Energy Inc.,PNK,Independent Oil & Gas,121
AFQ,American Financial Group Inc.,None,None,0
BBRI.JK,Bank Rakyat Indonesia (Persero),JKT,None,0
MEDA,Media Analytics Corporation,PNK,Application Software,821
OJOC,Ojai Oil Co.,PNK,None,0
CBAN,Colony Bankcorp Inc.,NGM,Regional - Mid-Atlantic Banks,412
MEDL,"MEDL Mobile Holdings, Inc.",PNK,Application Software,821
CBAK,"China BAK Battery, Inc.",NGM,Diversified Electronics,836
CBAT,Cortronix Biomedical Advancement Technologies Inc.,PNK,Medical Laboratories & Research,525
SMBR.JK,Semen Baturaja (Persero) Tbk.,JKT,None,0
TIME,Time Inc.,NYQ,Publishing - Periodicals,728
CBAY,"Cymabay Therapeutics, Inc.",NCM,Biotechnology,515
1Q8.F,QUEST RARE MIN,FRA,None,0
0966.HK,China Taiping Insurance Holdings Company Limited,HKG,Life Insurance,430
HZNFF,Horizon Oil Limited,PNK,None,0
ADPAN,ADELPHIA RECOV TR,PNK,None,0
2618.HK,TCL Communication Technology Holdings Ltd.,HKG,Communication Equipment,841
AREN,America Resources Exploration Inc.,OBB,Conglomerates,210
CLSZF,China Oil And Gas Group Limited,PNK,None,0
FMSA,Fairmount Santrol Holdings Inc.,NYQ,Industrial Metals & Minerals,133
ARES,"Ares Management, L.P.",NYQ,Asset Management,422
AREX,"Approach Resources, Inc.",NMS,Independent Oil & Gas,121
GFTU.L,Grafton Group plc,LSE,General Building Materials,634
ERG.MI,ERG SpA,MIL,Major Integrated Oil & Gas,120
NVSGF,NEVADA SUNRISE GOLD,PNK,None,0
WAIR,"Wesco Aircraft Holdings, Inc.",NYQ,Industrial Equipment Wholesale,752
MDNT,"Moon River Studios, Inc.",PNK,Entertainment - Diversified,722
CPGI,China  Shengda Packaging  Group Inc.,NCM,None,0
ADXS,"Advaxis, Inc.",NCM,Biotechnology,515
MDNB,Minden Bancorp Inc.,OBB,Regional - Southeast Banks,413
